"ID bando","Progetto","CIG","Data pubblicazione","Num perizia","Tipo gara","Num ditte invitate","Protocollo determina","RUP","ID progetto","Oggetto","CUP","Tipologia","Sigla grande progetto","Piano","Durata giorni","Importo base asta","Oneri della sicurezza","IVA","Somme a disposizione dell'amministrazione","Aliquota forfettaria","Importo lavori","Importo servizi","Importo forniture","Importo totale","Dettaglio localizzazione","ID contratto","Operatore capogruppo","Operatori associati","Data stipula","Sotto riserva di legge","Data prevista inizio lavori","Data prevista fine lavori","Importo contratto","Data inizio validita","Data fine validita","Data risoluzione","ID conti appaltatore","Latitudine","Longitudine"
44636,"Acquisto attrezzature hardware e software","5511366B17","2013-12-13","36298","Sistema dinamico di acquisizione","0","225","Luisa Rapone","44631",,"F69J13000530006","Sistemi tecnologici","G.P.P.","Piano di rafforzamento tecnologico e di capacity building","60","110200","0",,"0",,"0.0","0","110200","990000",,,,,,,,,,,,,,"40.7461572","14.4989344"
14403,"Consolidamento e restauro delle strutture della Casa del Criptoportico","41064963B3","2012-04-03","14","Procedura ristretta","33",,"Ernesto De Carolis","14400",,"F64B12000120001","Restauro architettonico","G.P.P.","Piano delle opere","370","563161.18","8539.11","63973.54","98669.21",,"455952.86","0","0","750000","Civico 2","21350","Perillo Costruzioni Generali",,"2013-05-14","true","2013-02-01","2014-02-18","304635.9",,,,"21352;48827;55528","40.7505464","14.4894648"
55542,"Indagini geognostiche e studi per la mitigazione del rischio idrogeologico dei pianori non scavati e dei fonti di scavo delle Regiones I, IV e V e del banco roccioso del fronte sud della Regio VIII","5472771180",,"0","Procedura ai sensi art. 204 comma 1 e art. 122 comma 7 del Dlgs163/2006.","8","Decreto n° 230","Grete Stefani","55532",,"F63D13000720006","Diagnosi e monitoraggio","G.P.P.","Piano della conoscenza","60","134257.95","13620.86",,"15706.22","4436","77037.78","39163.31","0","18236555",,"56011","Geomed Srl Geoarcheologia e Geologia Ambientale",,"2014-06-17","true",,,,,,,"56012","40.7461572","14.4989344"
30336,"Lavori di consolidamento e restauro delle strutture della Casa del Marinaio","41068675DB","2012-04-13","11","Procedura ristretta","33","13207","Ernesto De Carolis","30331",,"F64B12000090001","Restauro architettonico","G.P.P.","Piano delle opere","550","1012535.81","29311.55","122930.09","33991.5",,"949232.76","0","0","101253581","Casa del Marinaio","33273","Forte Costruzioni e Restauri",,"2013-11-13","true","2013-08-05","2015-02-06","585381.36",,,,"31375","40.7491808","14.4834559"
13804,"Lavori di consolidamento e restauro delle strutture della Casa di Sirico","4106680B88","2012-04-02","10","Procedura ristretta","36","13210/2012","Ernesto De Carolis","13802",,"F64B12000110001","Restauro architettonico",,"Piano delle opere","730","1243326.33","21777.26",,"217953.89","0","1221549.09","0","0","177814907",,"30046","Perillo Costruzioni Generali",,"2013-06-27","false","2013-06-28","2015-06-28","572085.11",,,,"21352;48827;55528","40.7501216","14.4869097"
16225,"Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)","46223167d3","2012-11-09","1","Procedura aperta","0",,"Bruno Sammarco","16214",,"F69G12000090006","Messa in sicurezza","G.P.P.","Piano delle opere","360","1995224.42","75125.96",,"-1","26906.4","1995224.42","0","0","209725678",,"48828","Perillo Costruzioni Generali",,"2014-03-20","true",,,,,,,"21352;48827;55528","40.7461572","14.4989344"
47940,"Lavori di messa in sicurezza Regio VI – Pompei Scavi – Intervento n°VI","51694805D8","2013-07-18","6","Affidamento in unico lotto dell’appalto misto, ai sensi degli artt. 14 e 15 del D.lgs.163/2006, di lavori e dei servizi","0",,"Valerio Papaccio","47938","Affidamento in unico lotto dell’appalto misto, ai sensi degli artt. 14 e 15 del D.lgs.163/2006, di lavori e dei servizi per i “Lavori di messa in sicurezza Regio VI – Pompei Scavi – Intervento n°VI” - CUP: F66D12000440006","F66D12000440006","Messa in sicurezza","G.P.P.","Piano delle opere","513","3605115.15","174869.34",,"656951.77","38467.09","2636319.52","151679.67","0","436218933",,"55927","Perillo Costruzioni Generali","ATRAMENTUM","2014-06-16","true",,,,,,,"21352;48827;55528","40.7516818","14.4840964"
47753,"Lavori di messa in sicurezza Regio VII in Pompei Scavi.","5169367897","2013-07-19","7","Procedura aperta","0",,"Immacolata Bergamasco","47672","Affidamento in unico lotto dell'appalto misto di lavori e servizi","F64B13000310006","Messa in sicurezza","G.P.P.","Piano delle opere","510","3997358.3","339908",,"0",,"3276944.04","344528.14","0",,,,,,,,,,,,,,,"40.7501985","14.4845957"
55531,"Lavori di restauro dell'Insula 15, regio VII in Pompei scavi - Intervento n° C","5254237D86",,"Intervento n° C","Procedura aperta","0",,"Ernesto De Carolis","55530","Affidamento in un unico lotto dei ""Lavori di restauro dell'Insula 15, regio VII in Pompei scavi - Intervento n° C""","F68I13000080006","Restauro architettonico","G.P.P.","Piano delle opere","420","530502.64","25434.87",,"0","27392.96","477674.81","0","0","53050264",,,,,,,,,,,,,,"40.7502499","14.4843038"
48245,"Lavori di ripristino e di consolidamento delle strutture della casa della Fontana Piccola – Pompei Scavi","52070322BD","2013-07-23","26","Procedura aperta","0","21163","Stefania Argenti","16218","Lavori di ripristino e di consolidamento delle strutture della casa della Fontana Piccola – Pompei Scavi – Intervento n° 26 -","F68I11000120007","Messa in sicurezza","G.P.P.","Piano delle opere","180","249523.39","30103.97",,"19571.47","13308","186539.95","19571.47","0","2979233",,,,,,,,,,,,,,"40.7512887","14.4835727"
