"Id-offerta","CIG","oggetto-offerta","data-contratto-offerta","importo-offerta","offerente","data-ricezione-offerta"
"17506","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"93819.88","EDIL.RE.CO.S","2012-09-06"
"20146","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"773875.23","Research Consorzio","2012-09-07"
"20159","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"939352.05","Pa.Co. Pacifico Costruzioni","2012-09-07"
"20161","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"918601.79","C.I.E.S. COSTRUZIONI INDUSTRIALIZZATE EDILI STRADALI","2012-09-07"
"20226","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"986008.03","Ronga","2012-09-04"
"20227","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"842531.55","Lucci Salvatore Impresa di Costruzioni","2012-09-05"
"20228","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"965073.17","Iota Restauro","2012-09-05"
"20230","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"870280.66","COOPERATIVA ARCHEOLOGIA","2012-09-06"
"20231","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"1018412.42","TECNORES","2012-09-06"
"20232","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri","2013-05-14","685162.35","Perillo Costruzioni Generali","2012-09-06"
"20233","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"944267.19","IMPRESA INGG MARIO E PAOLO COSENZA SRL","2012-09-06"
"20234","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"872220.7","Ar.fe.ga.","2012-09-06"
"20235","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"987327.03","Vitiello s.r.l.","2012-09-06"
"20236","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"750680.57","EDIL.RE.CO.S","2012-09-06"
