data-stipula,CIG,rup-nome-e-cognome,protocollo-determina,sigla-grande-progetto,operatore-capogruppo,tipo-gara,tipologia-intervento,durata-giorni,aliquota-formettaria,piano,numero-ditte-invitate,importo-servizi,data-risoluzione,CUP,data-prevista-inizio-lavori,label,num-perizia,somme-disposizione-amministrazione,sotto-riserva-di-legge,data-inizio-validita,data-prevista-fine-lavori,type,importo-lavori,data-pubblicazione-bando,importo-totale,data-fine-validita,id-bando,importo-base-asta,id-progetto,oneri-della-sicurezza,iva,importo-forniture,id-conti-appaltatore,importo-contratto,addressLatLng,id-contratto,RUP cognome,dettaglio-localizzazione,RUP nome,oggetto-progetto,operatori-associati,Progetto,Titolo,ID
,5511366B17,Luisa Rapone,225,G.P.P.,,Sistema dinamico di acquisizione,Sistemi tecnologici,60,,Piano di rafforzamento tecnologico e di capacity building,0,"0,0",,F69J13000530006,,Acquisto attrezzature hardware e software,36298,"0,0",,,,Progetto,0.0,2013-12-13,99000.0,,44636,"110.200,0",44631,"0,0",,"110.200,0",,,"40.7461572,14.498934400000053",,,,,,,,,
2013-05-14,41064963B3,Ernesto De Carolis,,G.P.P.,Perillo Costruzioni Generali,Procedura ristretta,Restauro architettonico,370,,Piano delle opere,33,"0,0",,F64B12000120001,2013-02-01,Consolidamento e restauro delle strutture della Casa del Criptoportico,14,"98.669,21",true,,2014-02-18,Progetto,455952.86,2012-04-03,750000,,14403,"563.161,18",14400,"8.539,11","63.973,54","0,0","21352,48827,55528","304.635,9","40.7505464,14.4894648",21350,De Carolis,Civico 2,Ernesto,,,,,
2014-06-17,5472771180,Grete Stefani,Decreto n° 230,G.P.P.,Geomed Srl Geoarcheologia e Geologia Ambientale,Procedura ai sensi art. 204 comma 1 e art. 122 comma 7 del Dlgs163/2006.,Diagnosi e monitoraggio,60,"4.436,0",Piano della conoscenza,8,"39.163,31",,F63D13000720006,,"Indagini geognostiche e studi per la mitigazione del rischio idrogeologico dei pianori non scavati e dei fonti di scavo delle Regiones I, IV e V e del banco roccioso del fronte sud della Regio VIII",0,"15.706,22",true,,,Progetto,77037.78,,182365.55,,55542,"134.257,95",55532,"13.620,86",,"0,0",56012,,"40.7461572,14.498934400000053",56011,,,,,,,,
2013-11-13,41068675DB,Ernesto De Carolis,13207,G.P.P.,Forte Costruzioni e Restauri,Procedura ristretta,Restauro architettonico,550,,Piano delle opere,33,"0,0",,F64B12000090001,2013-08-05,Lavori di consolidamento e restauro delle strutture della Casa del Marinaio,11,"33.991,5",true,,2015-02-06,Progetto,949232.76,2012-04-13,1012535.81,,30336,"1.012.535,81",30331,"29.311,55","122.930,09","0,0",31375,"585.381,36","40.7491808,14.4834559",33273,,Casa del Marinaio,,,,,,
2013-06-27,4106680B88,Ernesto De Carolis,13210/2012,,Perillo Costruzioni Generali,Procedura ristretta,Restauro architettonico,730,"0,0",Piano delle opere,36,"0,0",,F64B12000110001,2013-06-28,Lavori di consolidamento e restauro delle strutture della Casa di Sirico,10,"217.953,89",false,,2015-06-28,Progetto,1221549.09,2012-04-02,1778149.07,,13804,"1.243.326,33",13802,"21.777,26",,"0,0","21352,48827,55528","572.085,11","40.7501216,14.4869097",30046,,,,,,,,
2014-03-20,46223167d3,Bruno Sammarco,,G.P.P.,Perillo Costruzioni Generali,Procedura aperta,Messa in sicurezza,360,"26.906,4",Piano delle opere,0,"0,0",,F69G12000090006,,Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX),1,"-1,0",true,,,Progetto,1995224.42,2012-11-09,2097256.78,,16225,"1.995.224,42",16214,"75.125,96",,"0,0","21352,48827,55528",,"40.7461572,14.498934400000053",48828,,,,,,,,
2014-06-16,51694805D8,Valerio Papaccio,,G.P.P.,Perillo Costruzioni Generali,"Affidamento in unico lotto dell’appalto misto, ai sensi degli artt. 14 e 15 del D.lgs.163/2006, di lavori e dei servizi",Messa in sicurezza,513,"38.467,09",Piano delle opere,0,"151.679,67",,F66D12000440006,,Lavori di messa in sicurezza Regio VI – Pompei Scavi – Intervento n°VI,6,"656.951,77",true,,,Progetto,2636319.52,2013-07-18,4362189.33,,47940,"3.605.115,15",47938,"174.869,34",,"0,0","21352,48827,55528",,"40.7516818,14.4840964",55927,,,,"Affidamento in unico lotto dell’appalto misto, ai sensi degli artt. 14 e 15 del D.lgs.163/2006, di lavori e dei servizi per i “Lavori di messa in sicurezza Regio VI – Pompei Scavi – Intervento n°VI” - CUP: F66D12000440006",ATRAMENTUM,,,
,5169367897,Immacolata Bergamasco,,G.P.P.,,Procedura aperta,Messa in sicurezza,510,,Piano delle opere,0,"344.528,14",,F64B13000310006,,Lavori di messa in sicurezza Regio VII in Pompei Scavi.,7,"0,0",,,,Progetto,3276944.04,2013-07-19,,,47753,"3.997.358,3",47672,"339.908,0",,"0,0",,,"40.7501985,14.4845957",,,,,Affidamento in unico lotto dell'appalto misto di lavori e servizi,,,,
,5254237D86,Ernesto De Carolis,,G.P.P.,,Procedura aperta,Restauro architettonico,420,"27.392,96",Piano delle opere,0,"0,0",,F68I13000080006,,"Lavori di restauro dell'Insula 15, regio VII in Pompei scavi - Intervento n° C",Intervento n° C,"0,0",,,,Progetto,477674.81,,530502.64,,55531,"530.502,64",55530,"25.434,87",,"0,0",,,"40.7502499,14.4843038",,De Carolis,,,"Affidamento in un unico lotto dei ""Lavori di restauro dell'Insula 15, regio VII in Pompei scavi - Intervento n° C""",,,,
,52070322BD,Stefania Argenti,21163,G.P.P.,,Procedura aperta,Messa in sicurezza,180,"13.308,0",Piano delle opere,0,"19.571,47",,F68I11000120007,,Lavori di ripristino e di consolidamento delle strutture della casa della Fontana Piccola – Pompei Scavi,26,"19.571,47",,,,Progetto,186539.95,2013-07-23,297923.3,,48245,"249.523,39",16218,"30.103,97",,"0,0",,,"40.7512887,14.4835727",,Argenti,,,Lavori di ripristino e di consolidamento delle strutture della casa della Fontana Piccola – Pompei Scavi – Intervento n° 26 -,,,,
